"inputA"; "37015F"; 335; 3.5
"inputB"; "10D08E"; 832; 0.6
"inputA"; "A61301"; 369; 9.9
"inputB"; "206849"; 405; 6.8
"inputA"; "6E00A8"; 968; 5.9
"inputB"; "27AF04"; 375; 8.1
"inputA"; "761EB2"; 827; 7.5
"inputB"; "93607C"; 136; 6.1
"inputA"; "4E898A"; 870; 7.4
"inputB"; "7C9206"; 957; 5.3
"inputA"; "197908"; 608; 5.8
"inputB"; "8CCD70"; 145; 2.5
"inputA"; "676645"; 296; 0.5
"inputB"; "A1E7EB"; 975; 3.4
"inputA"; "79A6C3"; 739; 6.3
"inputB"; "44403B"; 670; 2.3
"inputA"; "443D48"; 956; 2.7
"inputB"; "435357"; 947; 6.6
"inputA"; "8DE2A6"; 458; 5.8
"inputB"; "10AFED"; 430; 5.2
"inputA"; "2D8938"; 839; 4.9
"inputB"; "591359"; 816; 8
"inputA"; "431EA6"; 280; 7
"inputB"; "338573"; 658; 0.4
"inputA"; "3F80B9"; 85; 9.43
"inputB"; "A49A3D"; 961; 1.5
"inputA"; "3FE227"; 93; 4.74
"inputB"; "80F150"; 13; 1.4
"inputA"; "6936F1"; 951; 1.4
"inputB"; "51483D"; 969; 6.8
"inputA"; "8B165B"; 591; 7
"inputB"; "5D8AF0"; 510; 3.3
"inputA"; "280ED3"; 293; 8.1
"inputB"; "3BC660"; 197; 3.1
"inputA"; "1250D1"; 226; 7
"inputB"; "1079C5"; 676; 8.4
"inputA"; "9F6067"; 316; 2
"inputB"; "160DDD"; 870; 1
"inputA"; "32EDEB"; 749; 3.6
"inputB"; "64C3F3"; 308; 0.5
"inputA"; "8D4604"; 88; 3.79
"inputB"; "5A7C41"; 335; 6.4
"inputA"; "358A35"; 641; 2.1
"inputB"; "82C4B6"; 284; 8.3
"inputA"; "5DD258"; 504; 6.2
"inputB"; "49E7D2"; 978; 9.6
"inputA"; "49FFCE"; 218; 6.9
"inputB"; "72BE89"; 520; 0.6
"inputA"; "23882D"; 462; 2.1
"inputB"; "34F293"; 217; 5.2
"inputA"; "40F8C1"; 438; 8.8
"inputB"; "75A5AD"; 622; 8.6
"inputA"; "75C846"; 588; 3.3
"inputB"; "9F61BD"; 759; 5.5
"inputA"; "20FD7B"; 286; 5.1
"inputB"; "94CDBA"; 75; 6.4
"inputA"; "909861"; 714; 10
"inputB"; "A356DF"; 868; 8.7
"inputA"; "5C23D9"; 204; 6.8
"inputB"; "1B355D"; 825; 5.5
"inputA"; "6A62E6"; 589; 7.4
"inputB"; "44C50D"; 36; 6.4
"inputA"; "4CA307"; 744; 1.9
"inputB"; "86868B"; 527; 7.4
"inputA"; "228EC7"; 936; 8.1
"inputB"; "6A8FEB"; 425; 0.6
"inputA"; "247024"; 473; 7.1
"inputB"; "843499"; 271; 7.4
"inputA"; "29E54A"; 682; 4.8
"inputB"; "564AFA"; 944; 6.3
"inputA"; "2A75EE"; 112; 5.5
"inputB"; "693E64"; 631; 6.1
"inputA"; "6CE573"; 233; 3.4
"inputB"; "6BC032"; 637; 8
"inputA"; "6E34A0"; 191; 9.8
"inputB"; "7CCC2B"; 636; 0.4
"inputA"; "6307B7"; 470; 6.1
"inputB"; "3C179D"; 331; 4.1
"inputA"; "209B02"; 924; 8.1
"inputB"; "8DDA06"; 997; 4.7
"inputA"; "853002"; 727; 1.9
"inputB"; "54F929"; 273; 5
"inputA"; "5ED38B"; 272; 2.5
"inputB"; "A6CCFD"; 559; 9.3
"inputA"; "66544C"; 558; 5.3
"inputB"; "2C018B"; 805; 3.8
"inputA"; "56884E"; 987; 4.6
"inputB"; "1489A5"; 490; 1.1
"inputA"; "366100"; 662; 5.9
"inputB"; "A57A96"; 170; 0.3
"inputA"; "19B80B"; 640; 8.8
"inputB"; "6C1C19"; 714; 2
"inputA"; "A452CD"; 652; 2.5
"inputB"; "183EF5"; 493; 1.4
"inputA"; "4EAF5A"; 856; 4.7
"inputB"; "1C6240"; 75; 5.1
"inputA"; "74FA95"; 868; 8.6
"inputB"; "1F0CF5"; 769; 6.9
"inputA"; "4DCB47"; 262; 3.4
"inputB"; "933769"; 909; 2.4
"inputA"; "A2E586"; 177; 7.9
"inputB"; "6EDF3C"; 419; 1.2
"inputA"; "857DD1"; 465; 3.5
"inputB"; "6B4A41"; 507; 0.3
"inputA"; "992D6A"; 674; 7
"inputB"; "31C965"; 309; 8.9
"inputA"; "5D6789"; 846; 7.6
"inputB"; "55A3A9"; 248; 6.5
"inputA"; "7E4C50"; 725; 1.3
"inputB"; "1387C9"; 447; 9
"inputA"; "4198CE"; 329; 2.6
"inputB"; "91A3B6"; 514; 8.7
"inputA"; "A77AF1"; 607; 9.3
"inputB"; "66C182"; 458; 2.5
"inputA"; "310C4C"; 125; 7.3
"inputB"; "2769C1"; 440; 9.4
"inputA"; "4910F1"; 950; 3.8
"inputB"; "47B4D3"; 806; 8.1
"inputA"; "9CE9F4"; 538; 1.3
"inputB"; "A74E25"; 739; 7.5
"inputA"; "5FAB0B"; 187; 5.1
"inputB"; "6E2FBA"; 513; 5.4
"inputA"; "774426"; 187; 0.1
"inputB"; "3333C6"; 593; 3.6
"inputA"; "92B54E"; 645; 7.2
"inputB"; "7C4AC1"; 108; 7.8
"inputA"; "20BC0D"; 347; 6.6
"inputB"; "8C5885"; 901; 3.4
"inputA"; "3284AB"; 289; 8.2
"inputB"; "8ED7FE"; 895; 6.1
"inputA"; "6086C0"; 356; 9.3
"inputB"; "A18550"; 910; 2.7
"inputA"; "88929F"; 165; 1.8
"inputB"; "4BE84D"; 59; 8.4
"inputA"; "304366"; 428; 3.5
"inputB"; "A50D39"; 616; 8
"inputA"; "587AEB"; 672; 0.2
"inputB"; "4440E3"; 593; 8.5
"inputA"; "923D43"; 985; 8.9
"inputB"; "17B912"; 571; 1.1
"inputA"; "270D2F"; 822; 9
"inputB"; "3E1A61"; 519; 6.7
"inputA"; "5CFEE6"; 395; 7.3
"inputB"; "4A300C"; 426; 5.1
"inputA"; "4B821C"; 865; 7.6
"inputB"; "4F1EE2"; 141; 0.2
"inputA"; "91A5B7"; 211; 7.6
"inputB"; "52F116"; 952; 8.8
"inputA"; "12DC65"; 360; 7.7
"inputB"; "A2A912"; 920; 5
"inputA"; "736CE3"; 245; 3.3
"inputB"; "2834BB"; 388; 3.6
"inputA"; "F7300",; 0; 6.19
"inputB"; "5EF7AC"; 517; 1.1
"inputA"; "5FE904"; 326; 6.4
"inputB"; "9480EF"; 179; 5.8
"inputA"; "6C5FB0"; 703; 5.4
"inputB"; "622596"; 46; 9.7
"inputA"; "5D3BF7"; 472; 2.6
"inputB"; "71BE67"; 205; 8.6
"inputA"; "2D32F9"; 536; 4.5
"inputB"; "11D0AE"; 728; 2.2
"inputA"; "920A0C"; 66; 4.86
"inputB"; "3C8EC7"; 929; 7.2
"inputA"; "6D5760"; 523; 5.7
"inputB"; "6AFAC3"; 118; 6.6
"inputA"; "1D2E79"; 407; 0.7
"inputB"; "62A91B"; 692; 9.1
"inputA"; "957D9B"; 4; 0.17
"inputB"; "4AC80C"; 407; 5.6
"inputA"; "9B5A76"; 394; 2.7
"inputB"; "210427"; 213; 6.5
"inputA"; "1B0070"; 346; 6.2
"inputB"; "7B87B7"; 195; 9
"inputA"; "7139E0"; 437; 5.7
"inputB"; "1FE325"; 242; 2.7
"inputA"; "45F0CF"; 451; 9.9
"inputB"; "5F1AF6"; 615; 4.3
"inputA"; "9B6F9C"; 193; 3.4
"inputB"; "5E47A4"; 513; 4.1
"inputA"; "7B571A"; 702; 8.5
"inputB"; "6E1AAC"; 366; 5.4
"inputA"; "A3D0D7"; 354; 2.6
"inputB"; "37430E"; 498; 3.6
"inputA"; "646506"; 807; 4.3
"inputB"; "7947BE"; 611; 2.8
"inputA"; "20AD2B"; 187; 0.9
"inputB"; "5FA097"; 745; 3.1
"inputA"; "97D133"; 5; 0.51
"inputB"; "95A437"; 244; 9
"inputA"; "3DE5CB"; 411; 9.5
"inputB"; "9E0D38"; 774; 8.5
"inputA"; "7EF109"; 341; 6.2
"inputB"; "60FF64"; 788; 0.5
"inputA"; "9D9A60"; 582; 7.7
"inputB"; "799A72"; 264; 6.4
"inputA"; "18260D"; 947; 5.7
"inputB"; "93E347"; 422; 8.8
"inputA"; "6B3105"; 373; 6.5
"inputB"; "28906D"; 95; 7.5
"inputA"; "63C22A"; 400; 8.9
"inputB"; "89A4A9"; 958; 2.1
"inputA"; "89A254"; 369; 8.6
"inputB"; "6D590D"; 694; 8.4
"inputA"; "209420"; 346; 2.4
"inputB"; "39EF23"; 455; 9.7
"inputA"; "3C76A6"; 134; 9.2
"inputB"; "30F3D0"; 597; 8.9
"inputA"; "702F1A"; 982; 6.8
"inputB"; "246095"; 766; 3.5
"inputA"; "590A58"; 560; 9
"inputB"; "4C2BE0"; 974; 8.1
"inputA"; "280CDF"; 894; 2.4
"inputB"; "62AECF"; 14; 0.2
"inputA"; "39195C"; 744; 2.8
"inputB"; "22D5E6"; 609; 2.2
"inputA"; "5E9940"; 532; 4.3
"inputB"; "6A7599"; 809; 0.3
"inputA"; "992292"; 346; 6.4
"inputB"; "946AFB"; 267; 2.9
"inputA"; "61B4F4"; 253; 2.4
"inputB"; "44B052"; 350; 5.5
"inputA"; "867B1D"; 198; 7.1
"inputB"; "A0B735"; 558; 5.7
"inputA"; "27E342"; 976; 5.3
"inputB"; "9D2714"; 113; 5.8
"inputA"; "5DF943"; 187; 7.2
"inputB"; "66564C"; 770; 6.1
"inputA"; "26D97B"; 894; 5
"inputB"; "827F0D"; 141; 0.9
"inputA"; "93C47A"; 3; 0.41
"inputB"; "9BECAD"; 223; 9.3
"inputA"; "49EB52"; 114; 8
"inputB"; "40950E"; 149; 7.1
"inputA"; "37B7F1"; 636; 5.9
"inputB"; "5B52F4"; 757; 7.6
"inputA"; "2B00AB"; 663; 2.5
"inputB"; "640B7B"; 874; 2.7
"inputA"; "5573DC"; 425; 1.6
"inputB"; "A3307B"; 722; 8.4
"inputA"; "5C4CD8"; 442; 8.9
"inputB"; "29B40A"; 825; 1.7
"inputA"; "184B33"; 50; 8.13
"inputB"; "8C3589"; 896; 0.2
"inputA"; "4EB0CF"; 377; 5.8
"inputB"; "FC337"; 779; 0.9
"inputA"; "4C0ADF"; 10; 8.24
"inputB"; "19E5B1"; 296; 2.3
"inputA"; "8B74A4"; 527; 4.4
"inputB"; "80408A"; 416; 9.9
"inputA"; "6D03E3"; 289; 3.4
"inputB"; "1D1BB9"; 856; 1.3
"inputA"; "5B801C"; 272; 6.5
"inputB"; "78C152"; 945; 7.8
"inputA"; "3AD878"; 248; 6.5
"inputB"; "2034F7"; 977; 2.4
"inputA"; "69F9EE"; 938; 0.4
"inputB"; "83A533"; 24; 7.5
"inputA"; "6E1425"; 835; 2.8
"inputB"; "447E05"; 825; 8.9
"inputA"; "408E50"; 422; 3.8
"inputB"; "664829"; 247; 6.5
"inputA"; "2DBEF7"; 830; 1.5
"inputB"; "42927C"; 981; 5.2
"inputA"; "4AE812"; 301; 4.3
"inputB"; "99575C"; 327; 1.2
"inputA"; "8C6825"; 76; 9.32
"inputB"; "1E3F24"; 655; 10
"inputA"; "2E489A"; 568; 3.5
"inputB"; "67612B"; 68; 5.5
"inputA"; "961674"; 504; 0.5
"inputB"; "A020CC"; 945; 7.4
"inputA"; "1EEAFC"; 199; 4
"inputB"; "94943A"; 558; 3
"inputA"; "5FB5C8"; 830; 8.9
"inputB"; "55BE98"; 268; 0.9
"inputA"; "806483"; 628; 6.2
"inputB"; "7D7E58"; 575; 8.1
"inputA"; "783ABB"; 424; 7.9
"inputB"; "809D05"; 911; 1
"inputA"; "1D3F46"; 961; 3.2
"inputB"; "8C89A8"; 345; 5.1
"inputA"; "5B89D7"; 959; 8
"inputB"; "408221"; 925; 1.7
"inputA"; "18DD4A"; 844; 8.4
"inputB"; "164A95"; 102; 4.7
"inputA"; "110E59"; 888; 2.2
"inputB"; "7594D3"; 303; 9.9
"inputA"; "98B2F7"; 789; 1.6
"inputB"; "397F11"; 528; 4.6
"inputA"; "9452FB"; 161; 2.3
"inputB"; "3FD620"; 193; 7.4
"inputA"; "6EC939"; 259; 1.3
"inputB"; "7F1A6D"; 514; 6
"inputA"; "4DF945"; 976; 2.9
"inputB"; "41530D"; 586; 7.5
"inputA"; "2E6EFA"; 492; 2.8
"inputB"; "680FFC"; 956; 7.4
"inputA"; "5A218F"; 559; 6.7
"inputB"; "6698E2"; 568; 4.7
"inputA"; "7A8CDE"; 785; 5.1
"inputB"; "760A13"; 832; 5.8
"inputA"; "56CAD5"; 28; 7.08
"inputB"; "2528A4"; 873; 2.4
"inputA"; "7A23D8"; 526; 9.5
"inputB"; "1FE41B"; 629; 8
"inputA"; "93D145"; 62; 9.06
"inputB"; "1D936A"; 93; 7.8
"inputA"; "441A20"; 789; 2.1
"inputB"; "86687E"; 965; 7.8
"inputA"; "9B7331"; 926; 8.3
"inputB"; "4EA8A2"; 506; 2.4
"inputA"; "505038"; 505; 1.7
"inputB"; "238AA9"; 887; 7.8
"inputA"; "961BE2"; 236; 6.9
"inputB"; "6B4D9C"; 558; 6.8
"inputA"; "3F62D5"; 872; 1.6
"inputB"; "22B426"; 696; 6.9
"inputA"; "243094"; 298; 7.9
"inputB"; "933DDA"; 872; 3.8
"inputA"; "886F1B"; 568; 4.9
"inputB"; "8F08A5"; 648; 4.3
"inputA"; "3645EB"; 488; 5.8
"inputB"; "7AB3E1"; 323; 0.9
"inputA"; "85026B"; 395; 5.6
"inputB"; "2261F3"; 584; 1
"inputA"; "2105FD"; 482; 6.9
"inputB"; "4DBA1C"; 276; 7.6
"inputA"; "88B0F1"; 262; 8.3
"inputB"; "9E4052"; 401; 4.1
"inputA"; "2D0CED"; 470; 1
"inputB"; "1E4924"; 136; 7.9
"inputA"; "7547AF"; 854; 9.1
"inputB"; "366DCB"; 89; 4.2
"inputA"; "355E5B"; 432; 9.9
"inputB"; "2E2DFD"; 640; 0.1
"inputA"; "26E27D"; 668; 7.1
"inputB"; "6A20D0"; 642; 7.4
"inputA"; "237BCD"; 847; 4.9
"inputB"; "6C4C53"; 180; 6.7
"inputA"; "64416D"; 311; 4.7
"inputB"; "923BCB"; 4; 5.4
"inputA"; "3A2AA4"; 954; 8.2
"inputB"; "56F12B"; 769; 1.2
"inputA"; "2B3FC2"; 602; 5.1
"inputB"; "622800"; 498; 3
"inputA"; "951B6C"; 506; 1.7
"inputB"; "6EA8B6"; 940; 5.8
"inputA"; "9F29E1"; 67; 0.95
"inputB"; "822027"; 298; 7.7
"inputA"; "93F2BA"; 522; 9
"inputB"; "202A02"; 249; 10
"inputA"; "15D720"; 485; 4.4
"inputB"; "A02F8C"; 613; 8.5
"inputA"; "11EA2F"; 204; 1
"inputB"; "36D17A"; 610; 7.4
